,index,CANTIDAD
398,398,57.0
399,399,62.0
400,400,60.0
401,401,37.0
402,402,44.0
403,403,27.0
404,404,61.0
405,405,85.0
406,406,97.0
407,407,55.0
408,408,28.0
409,409,83.0
410,410,54.0
411,411,41.0
412,412,33.0
413,413,55.0
414,414,48.0
415,415,46.0
416,416,33.0
417,417,26.0
418,418,70.0
419,419,35.0
420,420,19.0
421,421,58.0
422,422,88.0
423,423,96.0
424,424,67.0
425,425,97.0
426,426,91.0
427,427,111.0
428,428,73.0
429,429,72.0
430,430,66.0
431,431,108.0
432,432,80.0
433,433,131.0
434,434,98.0
435,435,68.0
436,436,57.0
437,437,104.0
438,438,65.0
439,439,95.0
440,440,104.0
441,441,61.0
442,442,73.0
443,443,88.0
444,444,94.0
445,445,48.0
446,446,116.0
447,447,123.0
448,448,93.0
449,449,73.0
450,450,92.0
451,451,44.0
452,452,60.0
453,453,65.0
454,454,79.0
455,455,63.0
456,456,55.0
457,457,61.0
458,458,64.0
459,459,51.0
460,460,79.0
461,461,61.0
462,462,64.0
463,463,86.0
464,464,25.0
465,465,100.0
466,466,64.0
467,467,48.0
468,468,84.0
469,469,64.0
470,470,39.0
471,471,42.0
472,472,95.0
473,473,57.0
474,474,71.0
475,475,81.0
476,476,74.0
477,477,46.0
478,478,126.0
479,479,65.0
480,480,55.0
481,481,50.0
482,482,58.0
483,483,80.0
484,484,89.0
485,485,61.0
486,486,78.0
487,487,71.0
488,488,23.0
489,489,75.0
490,490,74.0
491,491,64.0
492,492,77.0
493,493,77.0
494,494,27.0
495,495,58.0
496,496,38.0
497,497,99.0
498,498,81.0
499,499,55.0
500,500,85.0
501,501,87.0
502,502,68.0
503,503,59.0
504,504,77.0
505,505,104.0
506,506,80.0
507,507,94.0
508,508,86.0
509,509,82.0
510,510,30.0
511,511,54.0
512,512,50.0
513,513,67.0
514,514,104.0
515,515,42.0
516,516,70.0
517,517,78.0
518,518,115.0
519,519,53.0
520,520,63.0
521,521,60.0
522,522,92.0
523,523,50.0
524,524,99.0
525,525,102.0
526,526,89.0
527,527,81.0
528,528,75.0
529,529,31.0
530,530,57.0
531,531,95.0
532,532,89.0
533,533,86.0
534,534,56.0
535,535,49.0
536,536,46.0
537,537,43.0
538,538,42.0
539,539,88.0
540,540,53.0
541,541,72.0
542,542,46.0
543,543,54.0
544,544,69.0
545,545,55.0
546,546,71.0
547,547,36.0
548,548,96.0
549,549,43.0
550,550,47.0
551,551,50.0
552,552,73.0
553,553,64.0
554,554,55.0
555,555,81.0
556,556,55.0
557,557,55.0
558,558,86.0
559,559,93.0
560,560,93.0
561,561,77.0
562,562,52.0
563,563,51.0
564,564,50.0
565,565,61.0
566,566,73.0
567,567,61.0
568,568,63.0
569,569,31.0
570,570,49.0
571,571,63.0
572,572,52.0
573,573,70.0
574,574,83.0
575,575,51.0
576,576,81.0
577,577,92.0
578,578,82.0
579,579,98.0
580,580,56.0
581,581,48.0
582,582,84.0
583,583,82.0
584,584,91.0
585,585,64.0
586,586,73.0
587,587,103.0
588,588,85.0
589,589,101.0
590,590,48.0
591,591,55.0
592,592,98.0
593,593,77.0
594,594,96.0
595,595,75.0
596,596,73.0
597,597,94.0
598,598,111.0
599,599,95.0
600,600,92.0
