,ANO,MES,SEMANA,CANTIDAD,x1
185,2012,12,51,2.0,185
186,2012,12,52,2.0,186
187,2013,1,1,0.0,187
188,2013,1,2,1.0,188
189,2013,1,3,0.0,189
190,2013,1,4,1.0,190
191,2013,1,5,1.0,191
192,2013,2,5,1.0,192
193,2013,2,6,0.0,193
194,2013,2,7,4.0,194
195,2013,2,8,1.0,195
196,2013,2,9,1.0,196
197,2013,3,9,1.0,197
198,2013,3,10,1.0,198
199,2013,3,11,1.0,199
200,2013,3,12,2.0,200
201,2013,3,13,0.0,201
202,2013,4,14,2.0,202
203,2013,4,15,0.0,203
204,2013,4,16,1.0,204
205,2013,4,17,1.0,205
206,2013,4,18,0.0,206
207,2013,5,18,0.0,207
208,2013,5,19,0.0,208
209,2013,5,20,0.0,209
210,2013,5,21,0.0,210
211,2013,5,22,0.0,211
212,2013,6,22,0.0,212
213,2013,6,23,1.0,213
214,2013,6,24,1.0,214
215,2013,6,25,0.0,215
216,2013,6,26,0.0,216
217,2013,7,27,2.0,217
218,2013,7,28,1.0,218
219,2013,7,29,0.0,219
220,2013,7,30,4.0,220
221,2013,7,31,1.0,221
222,2013,8,31,0.0,222
223,2013,8,32,0.0,223
224,2013,8,33,1.0,224
225,2013,8,34,3.0,225
226,2013,8,35,0.0,226
227,2013,9,35,0.0,227
228,2013,9,36,0.0,228
229,2013,9,37,0.0,229
230,2013,9,38,1.0,230
231,2013,9,39,4.0,231
232,2013,9,40,0.0,232
233,2013,10,40,2.0,233
234,2013,10,41,0.0,234
235,2013,10,42,0.0,235
236,2013,10,43,2.0,236
237,2013,10,44,0.0,237
238,2013,11,44,0.0,238
239,2013,11,45,1.0,239
240,2013,11,46,1.0,240
241,2013,11,47,0.0,241
242,2013,11,48,0.0,242
243,2013,12,1,0.0,243
244,2013,12,48,0.0,244
245,2013,12,49,0.0,245
246,2013,12,50,0.0,246
247,2013,12,51,1.0,247
248,2013,12,52,0.0,248
249,2014,1,1,3.0,249
250,2014,1,2,0.0,250
251,2014,1,3,1.0,251
252,2014,1,4,1.0,252
253,2014,1,5,2.0,253
254,2014,2,5,1.0,254
255,2014,2,6,0.0,255
256,2014,2,7,2.0,256
257,2014,2,8,0.0,257
258,2014,2,9,0.0,258
259,2014,3,9,0.0,259
260,2014,3,10,0.0,260
261,2014,3,11,0.0,261
262,2014,3,12,0.0,262
263,2014,3,13,0.0,263
264,2014,3,14,1.0,264
265,2014,4,14,0.0,265
266,2014,4,15,1.0,266
267,2014,4,16,0.0,267
268,2014,4,17,0.0,268
269,2014,4,18,2.0,269
270,2014,5,18,1.0,270
271,2014,5,19,1.0,271
272,2014,5,20,0.0,272
273,2014,5,21,2.0,273
274,2014,5,22,3.0,274
275,2014,6,22,0.0,275
276,2014,6,23,0.0,276
277,2014,6,24,1.0,277
278,2014,6,25,0.0,278
279,2014,6,26,1.0,279
280,2014,6,27,1.0,280
281,2014,7,27,2.0,281
282,2014,7,28,1.0,282
283,2014,7,29,4.0,283
284,2014,7,30,2.0,284
285,2014,7,31,0.0,285
286,2014,8,31,1.0,286
287,2014,8,32,1.0,287
288,2014,8,33,3.0,288
289,2014,8,34,0.0,289
290,2014,8,35,1.0,290
291,2014,9,36,2.0,291
292,2014,9,37,2.0,292
293,2014,9,38,2.0,293
294,2014,9,39,1.0,294
295,2014,9,40,1.0,295
296,2014,10,40,1.0,296
297,2014,10,41,0.0,297
298,2014,10,42,2.0,298
299,2014,10,43,2.0,299
300,2014,10,44,2.0,300
301,2014,11,44,1.0,301
302,2014,11,45,2.0,302
303,2014,11,46,2.0,303
304,2014,11,47,1.0,304
305,2014,11,48,0.0,305
306,2014,12,1,0.0,306
307,2014,12,49,2.0,307
308,2014,12,50,1.0,308
309,2014,12,51,0.0,309
310,2014,12,52,2.0,310
311,2015,1,1,0.0,311
312,2015,1,2,1.0,312
313,2015,1,3,0.0,313
314,2015,1,4,2.0,314
315,2015,1,5,1.0,315
316,2015,2,5,0.0,316
317,2015,2,6,2.0,317
318,2015,2,7,1.0,318
319,2015,2,8,2.0,319
320,2015,2,9,1.0,320
321,2015,3,9,0.0,321
322,2015,3,10,2.0,322
323,2015,3,11,2.0,323
324,2015,3,12,1.0,324
325,2015,3,13,1.0,325
326,2015,3,14,0.0,326
327,2015,4,14,2.0,327
328,2015,4,15,0.0,328
329,2015,4,16,0.0,329
330,2015,4,17,0.0,330
331,2015,4,18,0.0,331
332,2015,5,18,1.0,332
333,2015,5,19,0.0,333
334,2015,5,20,0.0,334
335,2015,5,21,3.0,335
336,2015,5,22,0.0,336
337,2015,6,23,3.0,337
338,2015,6,24,0.0,338
339,2015,6,25,1.0,339
340,2015,6,26,0.0,340
341,2015,6,27,0.0,341
342,2015,7,27,0.0,342
343,2015,7,28,2.0,343
344,2015,7,29,1.0,344
345,2015,7,30,2.0,345
346,2015,7,31,0.0,346
347,2015,8,31,0.0,347
348,2015,8,32,1.0,348
349,2015,8,33,0.0,349
350,2015,8,34,1.0,350
351,2015,8,35,2.0,351
352,2015,8,36,0.0,352
353,2015,9,36,0.0,353
354,2015,9,37,2.0,354
355,2015,9,38,2.0,355
356,2015,9,39,1.0,356
357,2015,9,40,1.0,357
358,2015,10,40,1.0,358
359,2015,10,41,1.0,359
360,2015,10,42,1.0,360
361,2015,10,43,0.0,361
362,2015,10,44,3.0,362
363,2015,11,44,0.0,363
364,2015,11,45,2.0,364
365,2015,11,46,1.0,365
366,2015,11,47,1.0,366
367,2015,11,48,2.0,367
368,2015,11,49,0.0,368
369,2015,12,49,0.0,369
370,2015,12,50,3.0,370
371,2015,12,51,0.0,371
372,2015,12,52,1.0,372
373,2015,12,53,0.0,373
374,2016,1,1,1.0,374
375,2016,1,2,1.0,375
376,2016,1,3,2.0,376
377,2016,1,4,4.0,377
378,2016,1,53,0.0,378
379,2016,2,5,3.0,379
380,2016,2,6,2.0,380
381,2016,2,7,1.0,381
382,2016,2,8,1.0,382
383,2016,2,9,0.0,383
384,2016,3,9,3.0,384
385,2016,3,10,0.0,385
386,2016,3,11,1.0,386
387,2016,3,12,0.0,387
388,2016,3,13,0.0,388
389,2016,4,13,0.0,389
390,2016,4,14,3.0,390
391,2016,4,15,0.0,391
392,2016,4,16,1.0,392
393,2016,4,17,0.0,393
394,2016,5,17,0.0,394
395,2016,5,18,1.0,395
396,2016,5,19,4.0,396
397,2016,5,20,2.0,397
398,2016,5,21,1.0,398
399,2016,5,22,0.0,399
400,2016,6,22,2.0,400
401,2016,6,23,3.0,401
402,2016,6,24,1.0,402
403,2016,6,25,2.0,403
404,2016,6,26,1.0,404
405,2016,7,26,0.0,405
406,2016,7,27,3.0,406
407,2016,7,28,3.0,407
408,2016,7,29,1.0,408
409,2016,7,30,2.0,409
410,2016,8,31,2.0,410
411,2016,8,32,1.0,411
412,2016,8,33,2.0,412
413,2016,8,34,2.0,413
414,2016,8,35,4.0,414
415,2016,9,35,0.0,415
416,2016,9,36,2.0,416
417,2016,9,37,3.0,417
418,2016,9,38,3.0,418
419,2016,9,39,2.0,419
420,2016,10,39,0.0,420
421,2016,10,40,3.0,421
422,2016,10,41,0.0,422
423,2016,10,42,2.0,423
424,2016,10,43,1.0,424
425,2016,10,44,1.0,425
426,2016,11,44,1.0,426
427,2016,11,45,2.0,427
428,2016,11,46,2.0,428
429,2016,11,47,0.0,429
430,2016,11,48,0.0,430
431,2016,12,48,2.0,431
432,2016,12,49,1.0,432
433,2016,12,50,2.0,433
434,2016,12,51,2.0,434
435,2016,12,52,1.0,435
436,2017,1,1,0.0,436
437,2017,1,2,1.0,437
438,2017,1,3,4.0,438
439,2017,1,4,1.0,439
440,2017,1,5,0.0,440
441,2017,1,52,2.0,441
442,2017,2,5,1.0,442
443,2017,2,6,1.0,443
444,2017,2,7,1.0,444
445,2017,2,8,3.0,445
446,2017,2,9,1.0,446
