,CANTIDAD_CORRECTIVAS,CANTIDAD_CRIMENES
316,47.0,0.0
317,52.0,0.0
318,60.0,1.0
319,32.0,0.0
320,29.0,0.0
321,48.0,0.0
322,58.0,0.0
323,39.0,0.0
324,26.0,1.0
325,29.0,0.0
326,30.0,0.0
327,40.0,0.0
328,39.0,0.0
329,0.0,0.0
330,34.0,1.0
331,23.0,0.0
332,56.0,1.0
333,28.0,0.0
334,44.0,0.0
335,42.0,0.0
336,56.0,0.0
337,37.0,0.0
338,58.0,1.0
339,76.0,0.0
340,86.0,0.0
341,67.0,0.0
342,45.0,0.0
343,46.0,0.0
344,74.0,0.0
345,63.0,1.0
346,71.0,0.0
347,70.0,1.0
348,97.0,1.0
349,52.0,0.0
350,106.0,0.0
351,56.0,0.0
352,52.0,0.0
353,90.0,0.0
354,27.0,0.0
355,57.0,1.0
356,57.0,0.0
357,79.0,0.0
358,46.0,1.0
359,56.0,0.0
360,47.0,0.0
361,36.0,0.0
362,77.0,0.0
363,59.0,1.0
364,65.0,1.0
365,112.0,0.0
366,45.0,0.0
367,59.0,0.0
368,63.0,0.0
369,87.0,0.0
370,78.0,1.0
371,75.0,0.0
372,62.0,1.0
373,41.0,0.0
374,73.0,0.0
375,78.0,0.0
376,48.0,0.0
377,75.0,0.0
378,63.0,1.0
379,41.0,0.0
380,22.0,0.0
381,63.0,1.0
382,47.0,0.0
383,62.0,0.0
384,60.0,0.0
385,50.0,0.0
386,46.0,0.0
387,57.0,0.0
388,39.0,0.0
389,57.0,0.0
390,41.0,0.0
391,47.0,0.0
392,82.0,0.0
393,45.0,0.0
394,43.0,0.0
395,30.0,0.0
396,134.0,0.0
397,79.0,0.0
398,57.0,1.0
399,62.0,1.0
400,60.0,0.0
401,37.0,0.0
402,44.0,0.0
403,27.0,1.0
404,61.0,0.0
405,85.0,0.0
406,97.0,0.0
407,55.0,0.0
408,28.0,0.0
409,83.0,0.0
410,54.0,2.0
411,41.0,0.0
412,33.0,1.0
413,55.0,0.0
414,48.0,0.0
415,46.0,0.0
416,33.0,1.0
417,26.0,0.0
418,70.0,0.0
419,35.0,1.0
420,19.0,0.0
421,58.0,0.0
422,88.0,0.0
423,96.0,1.0
424,67.0,0.0
425,97.0,0.0
426,91.0,0.0
427,111.0,0.0
428,73.0,0.0
429,72.0,1.0
430,66.0,1.0
431,108.0,0.0
432,80.0,1.0
433,131.0,0.0
434,98.0,0.0
435,68.0,2.0
436,57.0,0.0
437,104.0,1.0
438,65.0,0.0
439,95.0,0.0
440,104.0,0.0
441,61.0,0.0
442,73.0,0.0
443,88.0,0.0
444,94.0,0.0
445,48.0,1.0
446,116.0,0.0
447,123.0,0.0
448,93.0,0.0
449,73.0,1.0
450,92.0,0.0
451,44.0,0.0
452,60.0,0.0
453,65.0,0.0
454,79.0,0.0
455,63.0,0.0
456,55.0,1.0
457,61.0,0.0
458,64.0,0.0
459,51.0,0.0
460,79.0,0.0
461,61.0,0.0
462,64.0,0.0
463,86.0,0.0
464,25.0,0.0
465,100.0,1.0
466,64.0,0.0
467,48.0,0.0
468,84.0,0.0
469,64.0,0.0
470,39.0,0.0
471,42.0,0.0
472,95.0,0.0
473,57.0,1.0
474,71.0,0.0
475,81.0,0.0
476,74.0,0.0
477,46.0,0.0
478,126.0,0.0
479,65.0,0.0
480,55.0,1.0
481,50.0,0.0
482,58.0,0.0
483,80.0,0.0
484,89.0,0.0
485,61.0,0.0
486,78.0,0.0
487,71.0,0.0
488,23.0,0.0
489,75.0,0.0
490,74.0,1.0
491,64.0,0.0
492,77.0,1.0
493,77.0,0.0
494,27.0,0.0
495,58.0,0.0
496,38.0,0.0
497,99.0,0.0
498,81.0,0.0
499,55.0,0.0
500,85.0,0.0
501,87.0,0.0
502,68.0,1.0
503,59.0,0.0
504,77.0,1.0
505,104.0,0.0
506,80.0,0.0
507,94.0,0.0
