FID;NOMBRE;CATEGORIA;COMUNA;Manzanas;Personas;Hombres;Mujeres;Edad0a9;Edad10a19;Edad20a29;Edad30a39;Edad40a49;Edad50a59;Edad60a69;Edad70a79;Edad80omas;Viviendas;Hogares;HogaresDes;EstratoN1;EstratoN2;EstratoN3;EstratoN4;EstratoN5;EstratoN6
129;LAGOS DEL CACIQUE;BARRIO;COMUNA 16;34,000000000000000;3890,000000000000000;1766,000000000000000;2124,000000000000000;309,000000000000000;469,000000000000000;624,000000000000000;384,000000000000000;469,000000000000000;731,000000000000000;545,000000000000000;241,000000000000000;118,000000000000000;1322,000000000000000;1222,000000000000000;65,000000000000000;3,000000000000000;7,000000000000000;11,000000000000000;608,000000000000000;69,000000000000000;490,000000000000000
130;LAS CASITAS;BARRIO;COMUNA 09;4,000000000000000;214,000000000000000;106,000000000000000;108,000000000000000;33,000000000000000;27,000000000000000;44,000000000000000;23,000000000000000;28,000000000000000;24,000000000000000;14,000000000000000;14,000000000000000;7,000000000000000;63,000000000000000;64,000000000000000;1,000000000000000;0,000000000000000;48,000000000000000;7,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
131;LAS HAMACAS;BARRIO;COMUNA 01;9,000000000000000;726,000000000000000;372,000000000000000;354,000000000000000;118,000000000000000;134,000000000000000;125,000000000000000;131,000000000000000;89,000000000000000;70,000000000000000;36,000000000000000;19,000000000000000;4,000000000000000;205,000000000000000;223,000000000000000;9,000000000000000;177,000000000000000;11,000000000000000;1,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
132;LIMONCITO I;BARRIO;COMUNA 14;5,000000000000000;594,000000000000000;300,000000000000000;294,000000000000000;93,000000000000000;88,000000000000000;141,000000000000000;84,000000000000000;59,000000000000000;54,000000000000000;46,000000000000000;20,000000000000000;9,000000000000000;233,000000000000000;203,000000000000000;10,000000000000000;188,000000000000000;2,000000000000000;2,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
133;LIZCANO I;BARRIO;COMUNA 02;1,000000000000000;102,000000000000000;53,000000000000000;49,000000000000000;12,000000000000000;12,000000000000000;20,000000000000000;13,000000000000000;9,000000000000000;13,000000000000000;9,000000000000000;7,000000000000000;7,000000000000000;35,000000000000000;32,000000000000000;1,000000000000000;5,000000000000000;26,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
134;LIZCANO II;BARRIO;COMUNA 02;2,000000000000000;112,000000000000000;55,000000000000000;57,000000000000000;18,000000000000000;21,000000000000000;19,000000000000000;24,000000000000000;14,000000000000000;5,000000000000000;7,000000000000000;2,000000000000000;2,000000000000000;52,000000000000000;36,000000000000000;4,000000000000000;31,000000000000000;5,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
135;LOS ANGELES;BARRIO;COMUNA 02;17,000000000000000;856,000000000000000;414,000000000000000;442,000000000000000;124,000000000000000;135,000000000000000;143,000000000000000;126,000000000000000;108,000000000000000;94,000000000000000;67,000000000000000;39,000000000000000;20,000000000000000;339,000000000000000;282,000000000000000;11,000000000000000;51,000000000000000;229,000000000000000;0,000000000000000;1,000000000000000;0,000000000000000;0,000000000000000
136;LOS CEDROS;BARRIO;COMUNA 12;2,000000000000000;85,000000000000000;35,000000000000000;50,000000000000000;7,000000000000000;17,000000000000000;4,000000000000000;6,000000000000000;18,000000000000000;16,000000000000000;9,000000000000000;8,000000000000000;0,000000000000000;29,000000000000000;28,000000000000000;1,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;7,000000000000000;20,000000000000000
137;LOS GUAYACANES;BARRIO;COMUNA 16;1,000000000000000;141,000000000000000;67,000000000000000;74,000000000000000;24,000000000000000;25,000000000000000;22,000000000000000;23,000000000000000;26,000000000000000;11,000000000000000;5,000000000000000;4,000000000000000;1,000000000000000;35,000000000000000;35,000000000000000;1,000000000000000;2,000000000000000;27,000000000000000;4,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
138;LOS HEROES;BARRIO;COMUNA 17;10,000000000000000;1309,000000000000000;610,000000000000000;699,000000000000000;159,000000000000000;173,000000000000000;237,000000000000000;199,000000000000000;171,000000000000000;159,000000000000000;124,000000000000000;58,000000000000000;29,000000000000000;401,000000000000000;416,000000000000000;17,000000000000000;0,000000000000000;3,000000000000000;369,000000000000000;2,000000000000000;0,000000000000000;0,000000000000000
